"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","구분_강조"
상계6·7동,14.25,14.11,286,257,397,기타
월곡2동,14.22,14.59,287,236,397,기타
신월3동,14.19,12.08,288,348,397,기타
면목7동,14.17,14.42,289,244,397,기타
시흥4동,14.17,12.66,290,323,397,기타
불광2동,14.04,13.32,291,290,397,기타
번1동,14.03,14.34,293,249,397,기타
거여2동,14.03,13.11,292,307,397,기타
장위1동,14.02,12.57,294,327,397,기타
남가좌2동,14.00,13.90,295,261,397,기타
신도림동,13.96,11.79,296,359,397,기타
공릉1동,13.94,15.90,297,182,397,기타
시흥5동,13.91,12.34,298,337,397,기타
수궁동,13.88,13.59,299,277,397,기타
난곡동,13.86,13.69,300,268,397,기타
전농1동,13.83,13.52,302,281,397,기타
석관동,13.83,13.40,301,286,397,기타
안암동,13.82,15.83,303,186,397,기타
장위3동,13.81,9.98,304,385,397,기타
창2동,13.77,12.71,305,321,397,기타
상도1동,13.71,16.55,306,154,397,기타
홍제3동,13.70,13.94,307,260,397,기타
신내1동,13.67,13.16,308,304,397,기타
상계10동,13.67,10.87,309,379,397,기타
신내2동,13.64,12.49,310,329,397,기타
갈현2동,13.57,13.62,311,274,397,기타
반포4동,13.51,14.24,312,253,397,기타
오금동,13.49,14.38,313,247,397,기타
북가좌1동,13.48,14.75,314,227,397,기타
도봉2동,13.44,15.91,315,181,397,기타
방이1동,13.42,15.14,316,208,397,기타
망우본동,13.40,12.55,317,328,397,기타
휘경1동,13.39,17.92,318,110,397,기타
이촌1동,13.33,9.25,319,390,397,기타
신정3동,13.32,12.80,320,317,397,기타
홍제1동,13.29,12.15,321,345,397,기타
신월4동,13.28,12.23,322,344,397,기타
고척2동,13.27,12.12,323,347,397,기타
흑석동,13.25,14.39,324,246,397,기타
명일1동,13.18,13.21,325,300,397,기타
미아동,13.16,13.51,326,283,397,기타
상계2동,13.15,13.58,328,280,397,기타
정릉4동,13.15,12.43,327,334,397,기타
방배3동,13.14,15.09,330,211,397,기타
신월7동,13.14,11.89,329,357,397,기타
마천2동,13.13,11.90,331,356,397,기타
길음2동,13.10,14.49,332,241,397,기타
월곡1동,13.09,12.67,333,322,397,기타
홍은2동,13.08,13.42,334,285,397,기타
송중동,13.07,12.38,335,336,397,기타
휘경2동,13.03,16.59,336,152,397,기타
월계2동,13.03,10.94,337,378,397,기타
혜화동,13.01,15.46,338,198,397,혜화동
구산동,13.01,13.24,339,298,397,기타
마천1동,12.91,11.95,340,352,397,기타
창4동,12.89,14.32,341,252,397,기타
방배본동,12.78,13.71,342,265,397,기타
정릉1동,12.77,12.47,343,332,397,기타
번2동,12.76,11.69,344,362,397,기타
수유1동,12.75,13.67,345,271,397,기타
우이동,12.75,12.65,346,324,397,기타
잠실4동,12.68,10.98,347,377,397,기타
길음1동,12.67,14.50,348,240,397,기타
중계2·3동,12.66,14.43,349,243,397,기타
종암동,12.65,14.15,350,256,397,기타
청량리동,12.59,11.45,351,368,397,기타
난향동,12.56,11.56,352,367,397,기타
방학1동,12.55,12.00,353,351,397,기타
신정1동,12.44,12.24,354,343,397,기타
전농2동,12.43,13.69,355,267,397,기타
고덕1동,12.42,12.63,356,325,397,기타
반포본동,12.42,5.65,357,396,397,기타
개포2동,12.41,14.56,359,237,397,기타
목4동,12.41,13.52,358,282,397,기타
홍은1동,12.36,12.43,360,333,397,기타
제기동,12.32,14.36,361,248,397,기타
무악동,12.20,9.38,362,388,397,기타
공릉2동,12.11,12.48,363,331,397,기타
수유2동,12.07,12.29,364,339,397,기타
창신2동,12.07,11.27,365,370,397,기타
월계1동,12.06,11.26,366,371,397,기타
인수동,12.05,11.91,367,354,397,기타
삼양동,11.94,11.37,368,369,397,기타
상계1동,11.93,12.84,369,316,397,기타
회기동,11.81,17.28,370,130,397,기타
정릉3동,11.80,11.59,371,366,397,기타
쌍문4동,11.74,7.95,372,392,397,기타
쌍문1동,11.73,12.13,373,346,397,기타
송천동,11.71,11.69,374,361,397,기타
시흥2동,11.61,9.72,375,386,397,기타
발산1동,11.46,11.61,376,365,397,기타
이문2동,11.37,5.98,377,395,397,기타
방학2동,11.33,11.24,378,372,397,기타
도봉1동,11.32,11.10,379,374,397,기타
사근동,11.29,14.87,380,222,397,기타
