"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","혜화동여부"
삼전동,21.13,20.86,56,67,397,0
삼성1동,21.13,14.33,54,251,397,0
목3동,21.05,23.92,57,28,397,0
문정1동,20.94,20.31,59,72,397,0
신사동,20.94,18.87,58,96,397,0
행운동,20.90,24.13,60,26,397,0
잠실6동,20.84,14.88,61,221,397,0
용산2가동,20.78,16.64,62,151,397,0
가리봉동,20.78,13.80,63,262,397,0
신원동,20.76,19.69,64,78,397,0
황학동,20.73,22.13,65,46,397,0
화곡6동,20.66,22.83,66,39,397,0
중앙동,20.64,21.01,67,66,397,0
을지로동,20.58,24.27,68,23,397,0
성수2가1동,20.51,16.42,69,159,397,0
대학동,20.50,24.26,70,24,397,0
서초3동,20.48,19.04,71,89,397,0
사당1동,20.41,21.14,72,65,397,0
서림동,20.39,23.25,73,33,397,0
상봉2동,20.35,21.21,74,62,397,0
성수1가1동,20.35,17.04,75,140,397,0
도곡2동,20.32,15.74,76,190,397,0
인헌동,20.29,21.93,77,53,397,0
중곡1동,20.27,19.31,78,83,397,0
청룡동,20.21,24.81,79,21,397,0
용문동,20.15,19.29,80,85,397,0
문래동,20.13,20.02,81,75,397,0
노량진1동,19.95,22.96,82,36,397,0
화곡1동,19.81,20.85,83,68,397,0
낙성대동,19.76,22.88,84,38,397,0
목2동,19.76,20.80,85,69,397,0
송정동,19.74,16.18,86,174,397,0
등촌2동,19.72,18.49,87,103,397,0
성산1동,19.71,17.80,88,111,397,0
구로5동,19.66,21.67,89,57,397,0
신당동,19.64,17.32,90,129,397,0
보라매동,19.63,17.71,91,113,397,0
종로1·2·3·4가동,19.58,13.68,92,269,397,0
잠실본동,19.57,22.05,93,48,397,0
서초1동,19.53,18.90,94,94,397,0
군자동,19.44,21.38,95,60,397,0
서강동,19.43,23.93,96,27,397,0
아현동,19.38,19.31,97,84,397,0
대치2동,19.37,11.07,98,375,397,0
장안1동,19.26,17.39,99,123,397,0
구의1동,19.24,21.47,100,58,397,0
원효로2동,19.24,16.94,101,144,397,0
후암동,19.07,16.36,102,162,397,0
남영동,19.04,14.61,103,234,397,0
세곡동,19.01,26.75,104,12,397,0
가락본동,18.83,18.05,105,109,397,0
수색동,18.79,14.50,106,239,397,0
공덕동,18.78,18.20,108,107,397,0
왕십리2동,18.78,16.56,107,153,397,0
독산3동,18.76,15.53,109,196,397,0
신대방2동,18.71,16.87,110,146,397,0
사직동,18.68,15.51,111,197,397,0
용강동,18.59,20.28,113,73,397,0
청파동,18.59,17.37,112,126,397,0
다산동,18.53,15.84,114,185,397,0
효창동,18.52,17.66,115,115,397,0
교남동,18.46,13.31,116,294,397,0
남현동,18.38,22.09,117,47,397,0
신대방1동,18.36,15.79,118,188,397,0
천호3동,18.34,19.39,119,81,397,0
장충동,18.30,16.89,120,145,397,0
오류1동,18.27,23.69,121,30,397,0
망원2동,18.20,15.88,122,184,397,0
청구동,18.16,20.68,123,71,397,0
방화2동,18.13,17.26,124,133,397,0
필동,18.11,16.08,125,177,397,0
노량진2동,18.08,16.15,126,175,397,0
보광동,18.03,15.94,127,180,397,0
상도3동,18.01,18.98,128,90,397,0
독산2동,17.95,14.67,129,230,397,0
화곡본동,17.94,17.65,130,116,397,0
장지동,17.87,17.34,131,128,397,0
오류2동,17.87,13.22,132,299,397,0
성산2동,17.85,21.95,133,51,397,0
상봉1동,17.81,16.39,134,160,397,0
왕십리도선동,17.78,18.09,135,108,397,0
가회동,17.74,12.99,136,311,397,0
사당4동,17.69,17.71,137,112,397,0
은천동,17.65,20.73,138,70,397,0
약수동,17.65,18.39,139,104,397,0
방배1동,17.63,18.33,140,105,397,0
천호2동,17.55,18.57,142,102,397,0
개포1동,17.55,16.21,141,171,397,0
신길1동,17.53,19.14,143,87,397,0
자양2동,17.48,17.06,144,138,397,0
화양동,17.45,22.21,145,44,397,0
방배2동,17.44,18.80,148,99,397,0
대방동,17.44,18.58,146,101,397,0
신길6동,17.44,17.36,147,127,397,0
자양1동,17.37,16.76,149,150,397,0
용신동,17.31,19.11,151,88,397,0
중곡3동,17.31,16.50,150,156,397,0
대조동,17.26,16.32,152,166,397,0
성내2동,17.20,17.64,153,118,397,0
금호4가동,17.19,14.83,154,224,397,0
등촌3동,17.16,16.96,155,143,397,0
암사2동,17.14,19.70,156,77,397,0
영등포본동,17.10,14.77,157,226,397,0
삼청동,17.07,13.43,158,284,397,0
중곡2동,17.05,17.39,159,122,397,0
대림2동,17.01,12.07,160,349,397,0
독산4동,17.00,13.31,161,292,397,0
구로2동,16.92,12.89,162,314,397,0
공항동,16.88,17.25,164,135,397,0
도림동,16.88,16.53,165,155,397,0
염리동,16.88,16.18,163,173,397,0
사당3동,16.87,16.85,166,148,397,0
답십리1동,16.83,14.64,167,233,397,0
화곡8동,16.80,16.27,168,167,397,0
옥수동,16.78,18.93,170,91,397,0
종로5·6가동,16.78,17.24,169,136,397,0
장안2동,16.77,17.11,171,137,397,0
응암2동,16.73,12.77,172,320,397,0
사당5동,16.70,16.34,173,165,397,0
상도4동,16.68,17.38,174,124,397,0
금호1가동,16.66,13.71,175,264,397,0
대치4동,16.64,17.64,176,117,397,0
개포4동,16.58,15.37,177,201,397,0
자양4동,16.56,15.96,178,179,397,0
대흥동,16.55,17.37,179,125,397,0
면목본동,16.55,16.19,181,172,397,0
화곡2동,16.55,15.53,180,195,397,0
대림3동,16.48,12.26,182,341,397,0
방화1동,16.47,15.28,183,203,397,0
신촌동,16.42,21.88,184,54,397,0
연희동,16.38,17.55,185,120,397,0
창신1동,16.31,13.18,186,302,397,0
이촌2동,16.30,11.79,187,360,397,0
화곡3동,16.26,16.23,188,170,397,0
답십리2동,16.25,12.99,189,310,397,0
내곡동,16.24,13.16,190,305,397,0
응암1동,16.23,15.58,191,193,397,0
개봉2동,16.23,13.29,192,296,397,0
성내1동,16.21,16.42,193,158,397,0
사당2동,16.19,16.25,194,168,397,0
강일동,16.18,25.64,195,16,397,0
녹번동,16.18,14.41,196,245,397,0
상도2동,16.13,19.88,198,76,397,0
행당1동,16.13,17.56,197,119,397,0
일원1동,16.06,17.05,200,139,397,0
용답동,16.06,13.26,199,297,397,0
자양3동,16.04,15.12,202,209,397,0
마장동,16.04,13.59,201,278,397,0
삼성동,16.01,12.01,203,350,397,0
수서동,15.98,23.23,204,34,397,0
창신3동,15.95,13.33,205,289,397,0
신길5동,15.93,11.90,206,355,397,0
방배4동,15.91,15.64,207,192,397,0
동화동,15.88,14.82,208,225,397,0
길동,15.85,16.46,209,157,397,0
금호2·3가동,15.85,13.36,210,287,397,0
방화3동,15.82,18.25,211,106,397,0
시흥1동,15.81,14.33,212,250,397,0
신수동,15.80,17.45,213,121,397,0
응봉동,15.77,11.92,214,353,397,0
신길4동,15.74,15.75,215,189,397,0
미성동,15.74,15.55,216,194,397,0
송파2동,15.73,14.95,217,218,397,0
구의3동,15.70,16.98,218,142,397,0
삼선동,15.68,17.03,220,141,397,0
이화동,15.68,16.37,219,161,397,0
신당5동,15.66,12.80,221,318,397,0
가락2동,15.63,17.68,222,114,397,0
숭인2동,15.61,15.07,223,212,397,0
서빙고동,15.58,14.60,224,235,397,0
신월6동,15.57,12.79,225,319,397,0
풍납1동,15.55,12.88,226,315,397,0
화곡4동,15.48,16.05,227,178,397,0
갈현1동,15.46,15.04,229,214,397,0
청운효자동,15.46,13.20,231,301,397,0
신월1동,15.46,12.96,228,312,397,0
상계9동,15.46,3.31,230,397,397,0
불광1동,15.43,18.80,232,98,397,0
면목5동,15.43,15.34,233,202,397,0
묵2동,15.40,16.24,234,169,397,0
신길7동,15.34,16.86,236,147,397,0
남가좌1동,15.34,14.86,235,223,397,0
암사1동,15.28,15.27,237,204,397,0
성내3동,15.27,15.15,238,206,397,0
구로4동,15.27,10.56,239,381,397,0
면목3·8동,15.26,14.47,240,242,397,0
성북동,15.18,16.09,241,176,397,0
대림1동,15.12,11.63,242,364,397,0
망우3동,15.08,13.67,243,270,397,0
상일동,15.06,13.33,244,288,397,0
신정4동,15.05,15.45,247,199,397,0
역촌동,15.05,14.04,246,258,397,0
신월2동,15.05,13.11,245,306,397,0
천호1동,15.02,15.10,249,210,397,0
구의2동,15.02,13.71,248,266,397,0
고덕2동,14.97,16.34,250,164,397,0
수유3동,14.97,15.90,252,183,397,0
시흥3동,14.97,12.94,251,313,397,0
우장산동,14.96,15.15,253,207,397,0
면목4동,14.92,13.31,254,293,397,0
신사2동,14.91,13.62,255,273,397,0
창1동,14.88,14.66,256,231,397,0
중화2동,14.86,14.68,257,229,397,0
숭인1동,14.84,12.26,258,342,397,0
정릉2동,14.83,14.65,259,232,397,0
보문동,14.80,16.80,260,149,397,0
묵1동,14.79,15.82,261,187,397,0
광장동,14.78,14.70,262,228,397,0
신사1동,14.74,13.97,263,259,397,0
개봉1동,14.72,14.55,265,238,397,0
신길3동,14.72,12.60,264,326,397,0
면목2동,14.70,13.60,267,276,397,0
증산동,14.70,13.17,266,303,397,0
동선동,14.69,18.88,268,95,397,0
고척1동,14.68,14.21,269,255,397,0
진관동,14.65,23.34,271,32,397,0
쌍문3동,14.65,15.20,270,205,397,0
북가좌2동,14.65,13.58,272,279,397,0
성현동,14.64,15.73,273,191,397,0
중화1동,14.62,14.97,274,217,397,0
신월5동,14.60,13.30,275,295,397,0
장위2동,14.59,13.01,276,308,397,0
응암3동,14.57,13.31,277,291,397,0
거여1동,14.51,13.78,278,263,397,0
쌍문2동,14.47,13.66,279,272,397,0
둔촌2동,14.44,15.06,280,213,397,0
천연동,14.41,12.41,281,335,397,0
중곡4동,14.36,14.22,282,254,397,0
청림동,14.36,12.28,283,340,397,0
개봉3동,14.35,13.01,284,309,397,0
창5동,14.31,17.27,285,132,397,0
상계6·7동,14.25,14.11,286,257,397,0
월곡2동,14.22,14.59,287,236,397,0
신월3동,14.19,12.08,288,348,397,0
면목7동,14.17,14.42,289,244,397,0
시흥4동,14.17,12.66,290,323,397,0
불광2동,14.04,13.32,291,290,397,0
번1동,14.03,14.34,293,249,397,0
거여2동,14.03,13.11,292,307,397,0
장위1동,14.02,12.57,294,327,397,0
남가좌2동,14.00,13.90,295,261,397,0
신도림동,13.96,11.79,296,359,397,0
공릉1동,13.94,15.90,297,182,397,0
시흥5동,13.91,12.34,298,337,397,0
수궁동,13.88,13.59,299,277,397,0
난곡동,13.86,13.69,300,268,397,0
전농1동,13.83,13.52,302,281,397,0
석관동,13.83,13.40,301,286,397,0
안암동,13.82,15.83,303,186,397,0
장위3동,13.81,9.98,304,385,397,0
창2동,13.77,12.71,305,321,397,0
상도1동,13.71,16.55,306,154,397,0
홍제3동,13.70,13.94,307,260,397,0
신내1동,13.67,13.16,308,304,397,0
상계10동,13.67,10.87,309,379,397,0
신내2동,13.64,12.49,310,329,397,0
갈현2동,13.57,13.62,311,274,397,0
반포4동,13.51,14.24,312,253,397,0
오금동,13.49,14.38,313,247,397,0
북가좌1동,13.48,14.75,314,227,397,0
도봉2동,13.44,15.91,315,181,397,0
방이1동,13.42,15.14,316,208,397,0
망우본동,13.40,12.55,317,328,397,0
휘경1동,13.39,17.92,318,110,397,0
이촌1동,13.33,9.25,319,390,397,0
신정3동,13.32,12.80,320,317,397,0
홍제1동,13.29,12.15,321,345,397,0
신월4동,13.28,12.23,322,344,397,0
고척2동,13.27,12.12,323,347,397,0
흑석동,13.25,14.39,324,246,397,0
명일1동,13.18,13.21,325,300,397,0
미아동,13.16,13.51,326,283,397,0
상계2동,13.15,13.58,328,280,397,0
정릉4동,13.15,12.43,327,334,397,0
방배3동,13.14,15.09,330,211,397,0
신월7동,13.14,11.89,329,357,397,0
마천2동,13.13,11.90,331,356,397,0
길음2동,13.10,14.49,332,241,397,0
월곡1동,13.09,12.67,333,322,397,0
홍은2동,13.08,13.42,334,285,397,0
송중동,13.07,12.38,335,336,397,0
휘경2동,13.03,16.59,336,152,397,0
월계2동,13.03,10.94,337,378,397,0
혜화동,13.01,15.46,338,198,397,1
구산동,13.01,13.24,339,298,397,0
마천1동,12.91,11.95,340,352,397,0
창4동,12.89,14.32,341,252,397,0
방배본동,12.78,13.71,342,265,397,0
정릉1동,12.77,12.47,343,332,397,0
번2동,12.76,11.69,344,362,397,0
수유1동,12.75,13.67,345,271,397,0
우이동,12.75,12.65,346,324,397,0
잠실4동,12.68,10.98,347,377,397,0
길음1동,12.67,14.50,348,240,397,0
중계2·3동,12.66,14.43,349,243,397,0
종암동,12.65,14.15,350,256,397,0
청량리동,12.59,11.45,351,368,397,0
난향동,12.56,11.56,352,367,397,0
방학1동,12.55,12.00,353,351,397,0
신정1동,12.44,12.24,354,343,397,0
전농2동,12.43,13.69,355,267,397,0
고덕1동,12.42,12.63,356,325,397,0
반포본동,12.42,5.65,357,396,397,0
개포2동,12.41,14.56,359,237,397,0
목4동,12.41,13.52,358,282,397,0
홍은1동,12.36,12.43,360,333,397,0
제기동,12.32,14.36,361,248,397,0
무악동,12.20,9.38,362,388,397,0
공릉2동,12.11,12.48,363,331,397,0
수유2동,12.07,12.29,364,339,397,0
창신2동,12.07,11.27,365,370,397,0
월계1동,12.06,11.26,366,371,397,0
인수동,12.05,11.91,367,354,397,0
삼양동,11.94,11.37,368,369,397,0
상계1동,11.93,12.84,369,316,397,0
회기동,11.81,17.28,370,130,397,0
정릉3동,11.80,11.59,371,366,397,0
쌍문4동,11.74,7.95,372,392,397,0
쌍문1동,11.73,12.13,373,346,397,0
송천동,11.71,11.69,374,361,397,0
시흥2동,11.61,9.72,375,386,397,0
발산1동,11.46,11.61,376,365,397,0
이문2동,11.37,5.98,377,395,397,0
방학2동,11.33,11.24,378,372,397,0
도봉1동,11.32,11.10,379,374,397,0
사근동,11.29,14.87,380,222,397,0
목1동,11.29,10.55,381,382,397,0
신정7동,11.27,21.20,382,63,397,0
상계5동,11.26,11.23,383,373,397,0
하계1동,11.23,12.32,384,338,397,0
상계3·4동,11.14,11.07,385,376,397,0
방학3동,11.02,9.56,386,387,397,0
부암동,10.96,12.49,387,330,397,0
창3동,10.90,11.67,388,363,397,0
평창동,10.79,11.79,389,358,397,0
삼각산동,10.59,10.73,390,380,397,0
이문1동,10.58,14.94,391,219,397,0
신정2동,10.22,10.02,393,384,397,0
번3동,10.22,6.61,392,394,397,0
중계4동,9.82,10.11,394,383,397,0
명일2동,9.51,14.92,395,220,397,0
대치1동,7.44,7.20,396,393,397,0
중계본동,7.38,9.27,397,389,397,0
